Month,Christmas,Mawlid,Ashoura,Hijra,Email,Arba'een,Arba'een(2),Nowruz,Easter,welfare,retirement,pension,charity,Ashura,Arbaeen,Arbaeen(2),allowance,zaka,zaka(2),Ramadan,Eid al-Fitr,Eid al-Adha
2017-04,0.0,0.0,0,0.6106851348008904,26.33439087986869,0.0,0.0,0.0,0.3565737051792829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9178743961352644,0.0,0.0
2017-05,0.0,0.0,0,0.5885481078407123,24.895484127457113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.835748792270529,0.0,0.0
2017-06,0.0,0.0,0,0.6328221617610685,24.319921426492485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.835748792270529,0.0,0.0
2017-07,0.0,0.0,0,0.6549591887212466,24.607702776974797,0.0,0.0,0.0,0.0,0.3565737051792829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9178743961352644,0.0,0.0
2017-08,0.0,0.0,0,0.6328221617610685,24.895484127457113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9178743961352644,0.0,0.0
2017-09,7.4178743961352644,0.0,0,0.6549591887212466,25.758828178904057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17709621568142467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10,7.4178743961352644,0.0,0,0.6328221617610685,26.33439087986869,0.0,0.0,0.0,0.0,0.3565737051792829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11,7.4178743961352644,0.0,0,0.5885481078407123,29.06200774360346,0.0,0.0,0.0,0.0,0.3565737051792829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12,14.835748792270529,0.0,0,0.6549591887212466,25.47104682842174,0.0,0.0,0.0,0.0,0.3565737051792829,0.0,0.0,0.17709621568142467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01,7.4178743961352644,0.0,0,0.6770962156814246,26.622172230351005,0.0,0.0,0.0,0.0,0.3565737051792829,0.0,0.0,0.08854810784071233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
